"Age" "Set" "Pct" "CNT"
"117" 48 "Set3" 0.0401250651380928 30656
"118" 49 "Set3" 0.0416883793642522 31850
"119" 50 "Set3" 0.0422094841063054 32248
"120" 51 "Set3" 0.0427305888483585 32646
"121" 52 "Set3" 0.0437727983324648 33443
"122" 53 "Set3" 0.0448150078165711 34239
"123" 54 "Set3" 0.0448150078165711 34239
"124" 55 "Set3" 0.0448150078165711 34239
"125" 56 "Set3" 0.0453361125586243 34637
"126" 57 "Set3" 0.0453361125586243 34637
"127" 58 "Set3" 0.0458572173006774 35035
"128" 59 "Set3" 0.0468994267847837 35831
"129" 60 "Set3" 0.04794163626889 36628
"130" 18 "Set4" 0.00917852225791648 19331
"131" 19 "Set4" 0.0100963744837081 21264
"132" 20 "Set4" 0.0114731528223956 24163
"133" 21 "Set4" 0.0119320789352914 25130
"134" 22 "Set4" 0.0123910050481872 26097
"135" 23 "Set4" 0.0123910050481872 26097
"136" 24 "Set4" 0.0128499311610831 27063
"137" 25 "Set4" 0.0178981184029371 37695
"138" 26 "Set4" 0.0137677833868747 28996
"139" 27 "Set4" 0.0146856356126664 30929
"140" 28 "Set4" 0.0151445617255622 31896
"141" 29 "Set4" 0.0151445617255622 31896
"142" 30 "Set4" 0.0165213400642497 34795
"143" 31 "Set4" 0.0169802661771455 35762
"144" 32 "Set4" 0.0174391922900413 36728
"145" 33 "Set4" 0.0178981184029371 37695
"146" 34 "Set4" 0.0178981184029371 37695
"147" 35 "Set4" 0.0201927489674162 42528
"148" 36 "Set4" 0.0206516750803121 43494
"149" 37 "Set4" 0.0211106011932079 44461
"150" 38 "Set4" 0.0215695273061037 45427
"151" 39 "Set4" 0.0220284534189995 46394
"152" 40 "Set4" 0.0229463056447912 48327
"153" 41 "Set4" 0.023405231757687 49294
"154" 42 "Set4" 0.023405231757687 49294
"155" 43 "Set4" 0.0238641578705828 50260
"156" 44 "Set4" 0.0256998623221661 54126
"157" 45 "Set4" 0.0275355667737494 57992
"158" 46 "Set4" 0.0289123451124369 60892
"159" 47 "Set4" 0.0298301973382285 62825
"160" 48 "Set4" 0.031206975676916 65725
"161" 49 "Set4" 0.0316659017898118 66691
"162" 50 "Set4" 0.0321248279027077 67658
"163" 51 "Set4" 0.0325837540156035 68624
"164" 52 "Set4" 0.0335016062413951 70557
"165" 53 "Set4" 0.033960532354291 71524
"166" 54 "Set4" 0.0344194584671868 72490
"167" 55 "Set4" 0.0344194584671868 72490
"168" 56 "Set4" 0.0357962368058743 75390
"169" 57 "Set4" 0.0367140890316659 77323
"170" 58 "Set4" 0.0371730151445617 78290
"171" 59 "Set4" 0.0367140890316659 77323
"172" 60 "Set4" 0.0348783845800826 73457
